,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,left,right,comp
0,0.0,0.0,0.0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act242.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act65.png,1
1,1.0,1.0,0.0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act178.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act52.png,-1
2,2.0,2.0,0.0,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act4.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act929.png,-1
3,3.0,3.0,0.0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act146.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act966.png,-1
4,4.0,4.0,0.0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act76.png,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act34.png,1
5,5.0,5.0,0.0,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act177.png,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act306.png,-1
6,6.0,6.0,0.0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act159.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act165.png,1
7,7.0,7.0,0.0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act113.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act282.png,1
8,8.0,8.0,0.0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act150.png,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act225.png,-1
9,9.0,9.0,0.0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act668.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act994.png,1
10,10.0,10.0,0.0,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act692.png,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act137.png,1
11,11.0,11.0,0.0,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act552.png,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act24.png,-1
12,12.0,12.0,0.0,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act70.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act14.png,1
13,13.0,13.0,0.0,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act415.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act46.png,1
14,14.0,14.0,0.0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act986.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act602.png,1
15,15.0,15.0,0.0,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act609.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act963.png,1
16,16.0,16.0,0.0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act164.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act902.png,-1
17,17.0,17.0,0.0,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act770.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act14.png,1
18,18.0,18.0,0.0,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act53.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act859.png,-1
19,19.0,19.0,0.0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act505.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act179.png,1
20,20.0,0.0,,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act212.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act472.png,1
21,21.0,0.0,,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act24.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act791.png,-1
22,22.0,0.0,,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act124.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act884.png,-1
23,23.0,0.0,,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act429.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act684.png,1
24,24.0,0.0,,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act27.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act129.png,1
25,25.0,0.0,,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act271.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act458.png,1
26,26.0,0.0,,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act170.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act390.png,1
27,27.0,0.0,,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act352.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act184.png,-1
28,28.0,0.0,,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act154.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act907.png,1
29,29.0,0.0,,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act96.png,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act183.png,1
30,30.0,0.0,,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act420.png,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act1.png,1
